Student_ID,Score
N00000430,64
N00000431,84
N00000432,88
N00000433,88
N00000434,88
N00000435,84
N00000436,80
N00000437,76
N00000438,92
N00000439,76
N00000440,76
N00000441,80
N00000442,76
N00000443,80
N00000444,80
N00000445,76
N00000446,84
N00000447,88
N00000448,80
N00000449,68
N00000450,88
N00000451,80
N00000452,76
N00000453,76
N00000454,72
N00000455,92
N00000456,76
N00000457,84
N00000458,92
N00000459,80
N00000460,68
N00000461,68
N00000462,80
N00000463,76
N00000464,92
N00000465,96
N00000466,76
N00000467,84
N00000468,84
N00000469,88
N00000470,64
N00000471,68
N00000472,92
N00000473,72
N00000474,76
N00000475,80
N00000476,92
N00000477,72
N00000478,92
N00000479,88
N00000480,84
N00000481,92
N00000482,92
N00000483,80
N00000484,72
N00000485,84
N00000486,68
N00000487,76
N00000488,76
N00000489,60
N00000490,76
N00000491,64
N00000492,80
N00000493,88
N00000494,68
N00000495,76
N00000496,76
N00000497,92
N00000498,84
N00000499,72
N00000500,92
N00000501,92
N00000502,60
N00000503,80
N00000504,64
N00000505,84
N00000506,72
N00000507,88
N00000508,84
N00000509,68
N00000510,76
N00000511,72
N00000512,80
N00000513,72
N00000514,88
N00000515,88
N00000516,92
N00000517,84
N00000518,64
N00000519,64
N00000520,76
N00000521,84
N00000522,76
N00000523,76
N00000524,72
N00000525,80
N00000526,76
N00000527,88
N00000528,76
N00000529,76
N00000530,68
N00000531,88
N00000532,80
N00000533,80
N00000534,88
N00000535,80
N00000536,76
N00000537,68
N00000538,88
N00000539,88
N00000540,80
N00000541,76
N00000542,80
N00000543,64
N00000544,88
N00000545,84
N00000546,88
N00000547,72
N00000548,84
N00000549,88
N00000550,68
N00000551,84
N00000552,76
N00000553,88
N00000554,80
N00000555,68
N00000556,76
N00000557,56
N00000558,72
N00000559,80
N00000560,72
N00000561,68
N00000562,100
N00000563,64
N00000564,76
N00000565,80
N00000566,80
N00000567,64
N00000568,72
N00000569,72
N00000570,68
N00000571,60
N00000572,80
N00000573,60
N00000574,72
N00000575,80
N00000576,72
N00000577,64
N00000578,72
N00000579,68
N00000580,88
N00000581,60
N00000582,84
N00000583,80
N00000584,72
N00000585,80
N00000586,92
N00000587,96
N00000588,88
N00000589,76
N00000590,88
N00000591,76
N00000592,72
N00000593,76
N00000594,76
N00000595,76
N00000596,80
N00000597,76
N00000598,76
N00000599,84
N00000600,88
N00000601,68
N00000602,92
N00000603,76
N00000604,88
N00000605,84
N00000606,68
N00000607,60
N00000608,80
N00000609,84
N00000610,72
N00000611,76
N00000612,80
N00000613,80
N00000614,84
N00000615,80
N00000617,80
N00000618,92
N00000619,72
N00000620,60
N00000621,84
N00000622,88
N00000624,84
N00000625,92
N00000626,88
N00000627,84
N00000628,68
N00000629,84
N00000630,80
N00000631,80
N00000632,64
N00000633,84
N00000634,84
N00000635,80
N00000636,56
N00000639,80
N00000640,80
